gem_id,gem_parent_id,concept_set_id,concepts,target,references
common_gen-validation-17,common_gen-validation-17,17,"['hand', 'rub', 'soap']",A man rubs his hands with soap after using the bathrooom.,"['A man rubs his hands with soap after using the bathrooom.', 'I will now rub the soap on my dirty hand.', 'Rub the soap in your hand.', 'The person uses soap to rub vigorously the hands.']"
common_gen-validation-18,common_gen-validation-18,18,"['front', 'hand', 'wave']",A girl waved her hand in front of the man.,"['A girl waved her hand in front of the man.', 'front hand always used to bet the wave', 'The men in front waved hands.', 'kids waving hands in front of a cake .']"
common_gen-validation-19,common_gen-validation-19,19,"['lawn', 'mow', 'yard']","David had to mow the lawn by 12:00pm, and there are a yard to finish.","['David had to mow the lawn by 12:00pm, and there are a yard to finish.', 'The man is mowing the lawn in a yard.']"
common_gen-validation-20,common_gen-validation-20,20,"['create', 'pottery', 'wheel']",Create pottery with a wheel and clay.,"['Create pottery with a wheel and clay.', 'I create pottery on a wheel.', 'A pottery wheel can be used to create bowls.', 'A man is using a wheel to create pottery.']"
common_gen-validation-21,common_gen-validation-21,21,"['hold', 'sit', 'sofa']",The sofa will sit in the living room and will hold visitors who visit.,"['The sofa will sit in the living room and will hold visitors who visit.', 'Sit on the sofa and hold a pose.', 'A man holds a remote control while sitting on a sofa.', 'A man sitting on a sofa holding a baby.']"
common_gen-validation-22,common_gen-validation-22,22,"['hold', 'newspaper', 'sit']",the man sat down holding the newspaper.,"['the man sat down holding the newspaper.', 'The man was holding a newspaper as he sat in a chair.', 'The man held a newspaper while looking for a place to sit.', 'A man sitting on a bus is holding a newspaper.']"
common_gen-validation-23,common_gen-validation-23,23,"['hair', 'look', 'sit']",The girl sits as she looks in the mirror while styling her hair.,"['The girl sits as she looks in the mirror while styling her hair.', 'When you sit in front of the mirror you can look at your hair.', 'hair look sit on the top', 'A girl with hair sits at a table looking around.']"
common_gen-validation-24,common_gen-validation-24,24,"['climb', 'equipment', 'mountain']",use the equipment to climb the mountain,"['use the equipment to climb the mountain', 'The man uses climbing equipment to scale the mountain.', 'Got to have the right equipment to climb the mountain.', 'A man without equipment is climbing a mountain.']"
common_gen-validation-25,common_gen-validation-25,25,"['sit', 'space', 'stare']",The kid wanted to sit in the empty space and stare at the wall.,"['The kid wanted to sit in the empty space and stare at the wall.', 'I sit on the ground and stare off into space.', 'The boy went to sit by the window at night to stare outside into space.', 'Someone sits staring miserably into space.']"
common_gen-validation-26,common_gen-validation-26,26,"['ball', 'head', 'kick']",I didn't mean to kick the ball into the goalie's head.,"[""I didn't mean to kick the ball into the goalie's head."", ""The girl kicked the ball to try to get it into the goal, but instead it hit her friend's head."", ""A player kicks a ball over a guy's head.""]"
common_gen-validation-27,common_gen-validation-27,27,"['costume', 'dancer', 'stage']",The female dancer wears a pretty costume on the stage.,"['The female dancer wears a pretty costume on the stage.', 'A dancer wears a costume on stage.', 'The dancer wears a costume when she performs on stage.', 'Music plays while dancers in costume perform on stage.']"
common_gen-validation-28,common_gen-validation-28,28,"['hand', 'pocket', 'stand']",A girl was standing with her hands in her pocket.,"['A girl was standing with her hands in her pocket.', 'When I stand around, I have my hand in my pocket.', 'The boy has his hands in his pocket as he stands at he bus stop.', ""Standing, someone 's hand reaches into his pocket.""]"
common_gen-validation-29,common_gen-validation-29,29,"['cat', 'floor', 'sit']",The cat is sitting on the floor.,"['The cat is sitting on the floor.', 'The woman watched the cat sit on the floor.', 'A cat will like to sit on a warm floor.', 'a cat sits on the floor']"
common_gen-validation-30,common_gen-validation-30,30,"['arm', 'sit', 'stretch']",A girl sat on the couch with her arms stretched towards the ceiling.,"['A girl sat on the couch with her arms stretched towards the ceiling.', 'The man is sitting and stretching his arm.', 'She woke up sit and stretched her arms above her head.', 'woman stretching her left arm sitting in the bed free photo']"
common_gen-validation-31,common_gen-validation-31,31,"['bed', 'lie', 'look']",He looks at the clock while lying in bed.,"['He looks at the clock while lying in bed.', 'It was scary for the girl to lie on the bed without taking a look under it.', 'Exhausted, she looks forward to lying down in bed for the night.', 'good looking family lying on a bed']"
common_gen-validation-32,common_gen-validation-32,32,"['stand', 'wall', 'watch']",a girl stands in front of the wall watching it,"['a girl stands in front of the wall watching it', 'People are standing by a wall watching them.']"
common_gen-validation-33,common_gen-validation-33,33,"['eat', 'meal', 'prepare']",A child eats a meal her mother prepares.,"['A child eats a meal her mother prepares.', 'The chef prepared a meal for the customer to eat.', 'People preparing to eat a meal.']"
common_gen-validation-34,common_gen-validation-34,34,"['ball', 'bounce', 'time']",She is to bounce the ball a hundred times I 2 minutes.,"['She is to bounce the ball a hundred times I 2 minutes.', 'It takes time to learn how to bounce a ball', 'The ball bounces multiple times.', 'Someone bounces the ball in time to the banging.']"
common_gen-validation-35,common_gen-validation-35,35,"['cut', 'hair', 'style']",The sister cut some hair to style it for prom.,"['The sister cut some hair to style it for prom.', ""The barber cut and styled the boy's hair."", 'Woman getting her hair styled and cut.']"
common_gen-validation-36,common_gen-validation-36,36,"['leash', 'street', 'walk']",The children walk with their dog on a leash down the street.,"['The children walk with their dog on a leash down the street.', 'I grabbed the leash to walk my dog across the street.', 'a man walks two dogs on leashes down the street']"
common_gen-validation-37,common_gen-validation-37,37,"['kid', 'pool', 'slide']",A kid slides into the pool.,"['A kid slides into the pool.', 'The kid slide in the pool', 'The kid slid into the pool.', 'A kid is about to ride the slide into the pool.']"
common_gen-validation-38,common_gen-validation-38,38,"['hand', 'stand', 'wash']",wash your hand and stand by the wall,"['wash your hand and stand by the wall', 'The kitchen porter stands by the sink as he washes the dishes by hand.', 'The man had to stand in front of the sink to wash his hands', 'The woman stands up and washes her hands.']"
common_gen-validation-39,common_gen-validation-39,39,"['graffiti', 'spray', 'wall']",The teenagers sprayed graffiti on the wall.,"['The teenagers sprayed graffiti on the wall.', 'The boys spray graffiti on a wall.', 'graffiti sprayed on the wall']"
common_gen-validation-40,common_gen-validation-40,40,"['car', 'side', 'street']",A car was parked on the side of the street.,"['A car was parked on the side of the street.', 'The car drove down the side street.', 'A car is parked on a side street.', 'cars parked both side od a street']"
common_gen-validation-41,common_gen-validation-41,41,"['dog', 'ride', 'walk']",I took my dog for a ride to the park so we could walk.,"['I took my dog for a ride to the park so we could walk.', 'A dog is playing while his owner is walking next to a woman riding a bike', 'walk the dog like a ride at the park', 'woman riding bike whilst walking the dog']"
common_gen-validation-42,common_gen-validation-42,42,"['ride', 'trail', 'wood']",the woman rides through the woods on a trail.,"['the woman rides through the woods on a trail.', 'The boy rides his bike down a trail filled with wood trees.', 'A boy rides his bike on a trail in the woods.', 'A mountain biker rides a trail through the woods.']"
common_gen-validation-43,common_gen-validation-43,43,"['cut', 'knife', 'wood']",The knife cut into the wood chopping board,"['The knife cut into the wood chopping board', 'The cook uses a wood cutting board to cut the meat with her knife.', 'The man uses a knife to cut the wood.']"
common_gen-validation-44,common_gen-validation-44,44,"['cat', 'clip', 'hold']",The cat tried to hold my hand while I tried to clip my nails.,"['The cat tried to hold my hand while I tried to clip my nails.', ""The owner held the cat in order to clip the cat's claws."", 'A man holds the cats paw and starts clipping its nails.']"
common_gen-validation-45,common_gen-validation-45,45,"['lane', 'swim', 'swimmer']",The swimmer can swim in his lane.,"['The swimmer can swim in his lane.', 'The swimmer was told to swim in his lane of the pool.', 'The swimmer was swimming in her own lane.', 'Three swimmers swim in their respective lanes.']"
common_gen-validation-46,common_gen-validation-46,46,"['blow', 'blower', 'pile']",I used a blower to blow the leaves into a pile.,"['I used a blower to blow the leaves into a pile.', 'The man used the blower to blow the leavss into a pile.', 'A man used his blower to blow a the leave in his yard into a pile.', 'A man with a leaf blower blows a large pile of leaves']"
common_gen-validation-47,common_gen-validation-47,47,"['paint', 'stand', 'wall']","Do not stand too close the the wall, it was just painted.","['Do not stand too close the the wall, it was just painted.', 'painting a standing wall is hard', 'Standing at the wall, Tom Sawyer took a brush and started to paint.', 'painting artist standing against a wall']"
common_gen-validation-48,common_gen-validation-48,48,"['ball', 'fall', 'throw']",The man falls after he throws the ball.,"['The man falls after he throws the ball.', 'throw the ball before you fall', 'The boy threw the ball so high that it fell across the fence.', 'A person falls and throws the ball into the goal.']"
common_gen-validation-49,common_gen-validation-49,49,"['boat', 'side', 'stand']",The boy stands on the side of the boat in the morning.,"['The boy stands on the side of the boat in the morning.', 'He could see as the man stood on the boat from the shore side.', ""It's not safe to stand on the side of the boat while its moving."", '2 men standing by the side of a boat.']"
common_gen-validation-50,common_gen-validation-50,50,"['fall', 'ground', 'jump']",The girl may fall if she tries to jump to the ground.,"['The girl may fall if she tries to jump to the ground.', 'A man jumping over a log falls to the ground.', ""Jump on the ground but don't fall."", 'A man jumps a ramp and falls to the ground.']"
common_gen-validation-51,common_gen-validation-51,51,"['flip', 'gymnast', 'mat']",A gymnast flips on a mat.,"['A gymnast flips on a mat.', 'The gymnast did a flip on the mat.', 'The gymnast completed a successful flip on the mat.', 'A gymnast does several flips along a mat.']"
common_gen-validation-52,common_gen-validation-52,52,"['ball', 'pitch', 'pitcher']",The pitcher will pitch the ball.,"['The pitcher will pitch the ball.', 'The pitcher holds the ball, waiting for the sign to pitch it.', 'The pitcher will pitch the ball to the batter.', 'The pitcher pitches the ball.']"
common_gen-validation-53,common_gen-validation-53,53,"['pop', 'ride', 'wheelie']",The boy pops a wheelie while riding his bike.,"['The boy pops a wheelie while riding his bike.', 'The bike popped a wheelie while the girl and boy were on the ride.', 'A motor cycle rider pops a wheelie while riding.']"
common_gen-validation-54,common_gen-validation-54,54,"['listen', 'music', 'street']",A woman stops to listen to a man playing music on a street corner.,"['A woman stops to listen to a man playing music on a street corner.', 'a woman listens to music on the street']"
common_gen-validation-55,common_gen-validation-55,55,"['grass', 'walk', 'wear']",The boy wears shoes while walking on the grass.,"['The boy wears shoes while walking on the grass.', 'To walk on the grass he would wear wellies.', 'The boy does not wear dress shoes when walking on wet grass.', 'A girl walks on the grass wearing a coat.']"
common_gen-validation-56,common_gen-validation-56,56,"['hand', 'hold', 'watch']",A girl holds her hand out as the cat watches.,"['A girl holds her hand out as the cat watches.', 'The girl watches the boy hold her hand.', 'The boy held his own hand and watched the bug crawl through his fingers.', 'People watch a couple hold hands.']"
common_gen-validation-57,common_gen-validation-57,57,"['ball', 'floor', 'hit']",The ball hit the floor.,"['The ball hit the floor.', 'A boy hits ball on the floor.', 'The girl hits the ball, and it bounces off the floor.', 'The ball hit the net and fall to the floor.']"
common_gen-validation-58,common_gen-validation-58,58,"['dough', 'kitchen', 'roll']",The woman went into the kitchen to roll out the dough for the biscuits.,"['The woman went into the kitchen to roll out the dough for the biscuits.', 'The man rolls the dough in the kitchen.', 'The baker rolled the dough in the kitchen.', 'A man rolling dough in the kitchen ']"
common_gen-validation-59,common_gen-validation-59,59,"['gun', 'head', 'point']",The robber pointed the gun at the head of the bank manager.,"['The robber pointed the gun at the head of the bank manager.', ""The thief pointed a gun at a person's head."", ""A criminal points a gun at a victim's head."", 'A man pointed his own gun at his head.']"
common_gen-validation-60,common_gen-validation-60,60,"['boat', 'dock', 'water']",The boat in the water was docked near the pier.,"['The boat in the water was docked near the pier.', 'The boat was at a dock in the water.', 'Dock the boat where the water is shallow.', 'boat docked in the water']"
common_gen-validation-61,common_gen-validation-61,61,"['microphone', 'sing', 'stage']",The woman holds turns on a microphone to sing on stage.,"['The woman holds turns on a microphone to sing on stage.', 'A girl sings on stage using a microphone.', 'The child held the microphone and sang on stage.', 'a man sings into a microphone on stage.']"
common_gen-validation-62,common_gen-validation-62,62,"['picture', 'stop', 'take']",The man stopped to take a picture.,"['The man stopped to take a picture.', 'While walking down a path, the man will stop and take a picture with his camera.', 'A man stops and takes a picture of them.']"
common_gen-validation-63,common_gen-validation-63,63,"['costume', 'dress', 'instrument']","The marching band members dressed in costume and bore their instruments, ready to start.","['The marching band members dressed in costume and bore their instruments, ready to start.', 'his costume consisted of a dress and a box resembling an instrument.', 'There is a man dressed in pirate costume playing an instrument.']"
common_gen-validation-64,common_gen-validation-64,64,"['grass', 'kick', 'run']",The toddler had to kick the ball and run on the grass to first place.,"['The toddler had to kick the ball and run on the grass to first place.', 'The boy kicked the ball through the grass and ran around the bases.', 'A young boy kicks a ball as he runs through grass.']"
common_gen-validation-65,common_gen-validation-65,65,"['game', 'player', 'score']",In a soccer game players score goal,"['In a soccer game players score goal', 'The player keeps track of his score during the game.', 'The baseball player scored the game winning run.', 'soccer players after scoring during the game']"
common_gen-validation-66,common_gen-validation-66,66,"['cross', 'street', 'watch']",A girl kept watch when she crossed the street.,"['A girl kept watch when she crossed the street.', 'A boy crosses the street while the mother watches', 'The man needs to watch the street in order to cross.', 'A man watching a lady cross the street.']"
common_gen-validation-67,common_gen-validation-67,67,"['bed', 'foot', 'sit']",A boy sits on the foot of the bed every morning to stretch before leaving his room.,"['A boy sits on the foot of the bed every morning to stretch before leaving his room.', 'He sat at the foot of the bed.', 'bed  sit in the foot', 'A woman sits at the foot of a bed.']"
common_gen-validation-68,common_gen-validation-68,68,"['close', 'hold', 'mouth']",The boy closed his eyes and held his mouth shut because there was a swarm of bugs.,"['The boy closed his eyes and held his mouth shut because there was a swarm of bugs.', 'The child held the food close to her mouth.', 'The woman was holding the apply close to her mouth.', 'A girl holds an animals mouth closed.']"
common_gen-validation-69,common_gen-validation-69,69,"['building', 'climb', 'rope']","This building is decaying, therefore the girl may need a rope to climb to the top.","['This building is decaying, therefore the girl may need a rope to climb to the top.', 'A superhero uses a rope to climb a building.', 'The man tried to climb the outside of the building only using a rope', 'a woman with a rope climbing all over a building']"
common_gen-validation-70,common_gen-validation-70,70,"['headphone', 'watch', 'wear']",when headphones meant to be worn not watched,"['when headphones meant to be worn not watched', 'A boy watches a man wearing headphones jog down the street.', 'A person is watching a TV screen and wearing headphones.']"
common_gen-validation-71,common_gen-validation-71,71,"['class', 'student', 'watch']",The student is watching his peers in class.,"['The student is watching his peers in class.', 'The student class wants to watch a movie.', 'The student watched the teacher during class.', 'Students are watching the class.']"
common_gen-validation-72,common_gen-validation-72,72,"['house', 'jump', 'trampoline']",house jump trampoline is on the yard,"['house jump trampoline is on the yard', ""Stacy's house has a trampoline we can jump on."", 'My friends and I jumped on the trampoline outside of my house.', 'Boy jumps on trampoline outside house.']"
common_gen-validation-73,common_gen-validation-73,73,"['foot', 'put', 'sock']",The boy put his foot into the sock.,"['The boy put his foot into the sock.', 'The old man put his foot in the sock.', 'put your sock on the rigth foot for luck', 'The individual puts socks on his feet.']"
common_gen-validation-74,common_gen-validation-74,74,"['cream', 'eat', 'spoon']",The girl eats the cream with a spoon.,"['The girl eats the cream with a spoon.', 'A boy eats ice cream with a spoon', 'The girl eats ice cream with a spoon.', 'A boy eats ice cream with a spoon.']"
common_gen-validation-75,common_gen-validation-75,75,"['boat', 'day', 'sail']",The boat sailed all day.,"['The boat sailed all day.', 'The main took his boat out to sail during the day', 'The boat set sail that day.', 'boats sailing on a calm day']"
common_gen-validation-76,common_gen-validation-76,76,"['class', 'part', 'take']",The class took the stage to perform their part in the performance.,"['The class took the stage to perform their part in the performance.', 'The class is part of a bid test group that take place', 'The senior class had to take a part in the school play.', 'young woman taking part in a class']"
common_gen-validation-77,common_gen-validation-77,77,"['bowl', 'mix', 'spoon']",A woman mixes salad in a bowl with a spoon.,"['A woman mixes salad in a bowl with a spoon.', 'I use a spoon to mix milk in my cereal bowl', 'The man mix hes bowl of cereal with a spoon.', 'female hands mixing salad in the bowl with a spoon .']"
common_gen-validation-78,common_gen-validation-78,78,"['hand', 'hold', 'knife']",A kid is holding a knife in the wrong hand.,"['A kid is holding a knife in the wrong hand.', 'A woman holds a knife in her right hand to maintain a good grip.', 'The woman used her hand to hold the knife.', 'hand holding a bloody knife .']"
common_gen-validation-79,common_gen-validation-79,79,"['lane', 'race', 'swimmer']",The swimmer races down their lane winning the heet.,"['The swimmer races down their lane winning the heet.', 'The swimmers got into their lanes to start the race.', 'Female swimmers are getting ready in their lanes to race.']"
common_gen-validation-80,common_gen-validation-80,80,"['chair', 'give', 'sit']",Its polite to give your chair to an elderly lady so she can sit.,"['Its polite to give your chair to an elderly lady so she can sit.', 'Give her a chair to sit on please.', 'The woman gave the old lady a chair so she could sit down.', 'Women sitting in chairs giving a speech.']"
common_gen-validation-81,common_gen-validation-81,81,"['birdie', 'hit', 'racket']",In Badminton the goal is to hit the birdie with a racket without crossing the boundary lines.,"['In Badminton the goal is to hit the birdie with a racket without crossing the boundary lines.', 'He hit the birdie with the racket.', 'People hit the birdie with a racket in a game badminton.', 'a toddler is trying to hit a birdie with his racket.']"
common_gen-validation-82,common_gen-validation-82,82,"['bike', 'fix', 'tire']",The teen had to fix his tire on the bike so he could ride it.,"['The teen had to fix his tire on the bike so he could ride it.', 'The man must fix the tire on the bike.', 'The woman was using a wrench to remove the tire and fix her bike.', 'A man is fixing the back tire of his bike.']"
common_gen-validation-83,common_gen-validation-83,83,"['ear', 'needle', 'pierce']",The beautician pierced the ear with the needle.,"['The beautician pierced the ear with the needle.', 'The girl uses the needle to pierce her ear.', 'They pierce ear with a needle', 'He inserts the needle, piercing his ear.']"
common_gen-validation-84,common_gen-validation-84,84,"['climb', 'gear', 'wall']",We put on our climbing gear hen we want to climb a wall.,"['We put on our climbing gear hen we want to climb a wall.', 'The woman needed to wear climbing gear to climb the rock wall.', 'The man climbs the wall with his gear.', 'A child in safety gear is climbing up a wall.']"
common_gen-validation-85,common_gen-validation-85,85,"['bike', 'music', 'ride']",The boy listened to music on his bike ride.,"['The boy listened to music on his bike ride.', 'A man rides a bike and listens to music.']"
common_gen-validation-86,common_gen-validation-86,86,"['dance', 'dress', 'perform']",She bought a new dress for dance class ready to perform.,"['She bought a new dress for dance class ready to perform.', 'The woman who will perform a dance is wearing a red dress', 'She has to pick out a dress before she performs her dance', 'People in native dress performing a dance.']"
common_gen-validation-87,common_gen-validation-87,87,"['car', 'cigarette', 'smoke']",don't smoke cigarette in the car,"[""don't smoke cigarette in the car"", 'The woman smoked a cigarette inside the car', 'smoking cigarettes in the car smells', 'A man smokes a cigarette in his car.']"
common_gen-validation-88,common_gen-validation-88,88,"['arm', 'chest', 'fold']","In yoga, a lady folded her arms around her chest for a pose.","['In yoga, a lady folded her arms around her chest for a pose.', 'He folded his arms across his chest.', 'He folded his arms accross his chest.', 'His arms folded around his chest.']"
common_gen-validation-89,common_gen-validation-89,89,"['dog', 'top', 'walk']",The child will walk to the top of the hill with his dog.,"['The child will walk to the top of the hill with his dog.', 'a dog is walking on the top of a hill', 'A dog stands on the top of the carpet before going for a walk', 'A black dog walking on top of a beach.']"
common_gen-validation-90,common_gen-validation-90,90,"['blow', 'bubble', 'toy']",The girl blew a bubble from her toy.,"['The girl blew a bubble from her toy.', 'A woman is blowing huge bubbles out of a toy.']"
common_gen-validation-91,common_gen-validation-91,91,"['cut', 'friend', 'hair']",The girl's mother wanted her friend to cut Macy's hair.,"[""The girl's mother wanted her friend to cut Macy's hair."", ""The girl cuts her friend's hair."", ""She cut her friend's hair."", 'Friends are getting their hair cut.']"
common_gen-validation-92,common_gen-validation-92,92,"['dish', 'help', 'wash']",The man helps to wash the dishes.,"['The man helps to wash the dishes.', 'A boy went to the kitchen to help his mother wash dishes.', 'The boy helps his mother wash dishes.', 'A lady is helping the man wash dishes.']"
common_gen-validation-93,common_gen-validation-93,93,"['audience', 'give', 'speech']",The man gives a speech to a large audience.,"['The man gives a speech to a large audience.', 'I gave a speech to an audience full of children', 'The woman gave a speech to the audience.', 'a man giving a speech in front of an audience']"
common_gen-validation-94,common_gen-validation-94,94,"['music', 'run', 'treadmill']",A man runs on a treadmill while listening to upbeat music.,"['A man runs on a treadmill while listening to upbeat music.', 'The girl plays music as she runs on the treadmill.', 'The girl likes to listen to music as she runs on the treadmill.', 'A man runs on a treadmill while listening to music.']"
common_gen-validation-95,common_gen-validation-95,95,"['hold', 'kitchen', 'stand']",A boy had to hold a kitchen stand when it broke.,"['A boy had to hold a kitchen stand when it broke.', 'A woman stands in the kitchen holding a mug.', 'Man standing in a kitchen holding a banana.']"
common_gen-validation-96,common_gen-validation-96,96,"['air', 'hand', 'ride']",The kids put their hands in the air while riding a roller coaster.,"['The kids put their hands in the air while riding a roller coaster.', 'On the ride, she sticks her hand out to feel the air.', 'man riding bicycle with hands in the air']"
common_gen-validation-97,common_gen-validation-97,97,"['dog', 'eat', 'house']",The dog eats food inside the house.,"['The dog eats food inside the house.', 'The dog eats at the house.', 'There is a dog inside of a house that is waiting in the kitchen for his owner to give him some food so he can eat.', 'A dog eating food in its house.']"
common_gen-validation-98,common_gen-validation-98,98,"['dance', 'female', 'male']",dances female and male make a couple dancers,"['dances female and male make a couple dancers', 'The female and male dance the tango.', 'Two males and a female are dancing.']"
common_gen-validation-99,common_gen-validation-99,99,"['comb', 'hair', 'use']",I use a comb to fix my hair.,"['I use a comb to fix my hair.', 'A girl uses to comb her hair.', 'I prefer to use the comb to detangle my hair.', 'The females uses the comb on her hair.']"
common_gen-validation-100,common_gen-validation-100,100,"['helmet', 'horse', 'wear']",The rider had to wear a helmet before getting on the horse.,"['The rider had to wear a helmet before getting on the horse.', 'The girl wears a helmet when riding a horse.', 'The woman wears a helmet when riding her horse.', 'A man wearing a helmet riding a horse.']"
common_gen-validation-101,common_gen-validation-101,101,"['boat', 'ocean', 'view']",There is a beautiful view of the ocean from a boat.,"['There is a beautiful view of the ocean from a boat.', 'I view from the boat of the ocean was beautiful', 'The view of the ocean on the tiny boat was amazing.', 'view of the ocean from a boat']"
common_gen-validation-102,common_gen-validation-102,102,"['ball', 'hit', 'team']",Johnny hit the ball to score on the other team.,"['Johnny hit the ball to score on the other team.', 'A team fields a ball hit into the outfield.', 'A baseball team hit the ball.', 'catcher for sports team hits the ball']"
common_gen-validation-103,common_gen-validation-103,103,"['hand', 'hold', 'paper']",The girl holds the paper with her hand.,"['The girl holds the paper with her hand.', 'I can hold paper in my hand.', 'hand holding a pencil on paper']"
common_gen-validation-104,common_gen-validation-104,104,"['bar', 'pole', 'vault']",when you pole vault you launch over a bar.,"['when you pole vault you launch over a bar.', 'The bar has a vault that was poled by people down a river.', 'The athlete used the pole to vault over the high bar.', 'They then pole vault over a bar.']"
common_gen-validation-105,common_gen-validation-105,105,"['door', 'hand', 'open']",The man reached out his hand to open the door,"['The man reached out his hand to open the door', 'The woman put out her hand to open the door.', 'hand of man opening a car door']"
common_gen-validation-106,common_gen-validation-106,106,"['bed', 'shirt', 'wear']",I had to wear my shirt to bed.,"['I had to wear my shirt to bed.', 'He got our of bed and went to the closet to wear his new shirt', 'A man getting ready for bed may wear a warm shirt for comfort.', 'Boy is bouncing over the bed wearing a black t-shirt.']"
common_gen-validation-107,common_gen-validation-107,107,"['apply', 'lady', 'makeup']",The lady knew how to apply her makeup.,"['The lady knew how to apply her makeup.', 'A lady applies makeup for the dance.', 'A young lady applies makeup.']"
common_gen-validation-108,common_gen-validation-108,108,"['beverage', 'glass', 'pour']",Please pour me a beverage in the glass.,"['Please pour me a beverage in the glass.', 'On this particular weekend, he decided to pour his beverage in his glass and enjoy his own company at the local bar.', 'The man poured the beverage into the glass.', 'beverage poured in a glass']"
common_gen-validation-109,common_gen-validation-109,109,"['dive', 'jump', 'pool']",dive jump into the pool,"['dive jump into the pool', 'The dive board was used to jump into the pool.', 'A guy in pants jumps from a high dive into a pool']"
